epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,4245.58,1.04686,0.5853,0.84741,0.97433,0.8966,0.9579,0.57187,1.2211,0.65209,0.8861,0.00142085,0.00142085,0.00142085
119,4280.29,1.03899,0.56755,0.84009,0.98553,0.93701,0.97671,0.59751,1.20139,0.60235,0.89012,0.0014159,0.0014159,0.0014159
120,4312.17,1.04333,0.58733,0.86313,0.94901,0.92913,0.96701,0.59167,1.28422,0.6647,0.90345,0.00141095,0.00141095,0.00141095
121,4342.53,1.04291,0.59468,0.85032,0.9673,0.93171,0.97954,0.62691,1.24318,0.66747,0.88925,0.001406,0.001406,0.001406
122,4376.52,1.0267,0.57873,0.85041,0.97489,0.91722,0.97404,0.62755,1.17398,0.62594,0.87782,0.00140105,0.00140105,0.00140105
123,4409.91,1.06297,0.6231,0.84714,0.9914,0.90798,0.96452,0.60396,1.20725,0.64823,0.88373,0.0013961,0.0013961,0.0013961
124,4443,1.03048,0.59343,0.83702,0.92885,0.92519,0.96439,0.62465,1.16561,0.63885,0.87997,0.00139115,0.00139115,0.00139115
125,4474.83,0.99533,0.56691,0.85687,0.97541,0.93693,0.97143,0.61672,1.15636,0.61732,0.86854,0.0013862,0.0013862,0.0013862
126,4506.26,1.0156,0.56087,0.84237,0.96376,0.92913,0.97169,0.63079,1.16067,0.6319,0.87571,0.00138125,0.00138125,0.00138125
127,4539.8,1.06554,0.6116,0.86062,0.94356,0.87402,0.96228,0.59993,1.20018,0.69907,0.87554,0.0013763,0.0013763,0.0013763
128,4570.67,1.05007,0.59542,0.84695,0.98077,0.91339,0.9785,0.63225,1.17761,0.61702,0.88879,0.00137135,0.00137135,0.00137135
129,4601.44,1.02615,0.57834,0.85322,0.96472,0.92126,0.9724,0.60022,1.27014,0.61605,0.89759,0.0013664,0.0013664,0.0013664
130,4632.89,1.06793,0.57069,0.85298,0.9131,0.91006,0.95543,0.59681,1.21662,0.71714,0.89298,0.00136145,0.00136145,0.00136145
131,4666.69,1.03207,0.5804,0.84934,0.97734,0.90551,0.98168,0.62384,1.16127,0.65048,0.88044,0.0013565,0.0013565,0.0013565
132,4700.16,1.0031,0.5655,0.8572,0.94072,0.93701,0.97379,0.62744,1.14235,0.63017,0.88136,0.00135155,0.00135155,0.00135155
133,4734.47,1.05384,0.55659,0.84686,0.9684,0.93701,0.98085,0.60303,1.24043,0.63175,0.89459,0.0013466,0.0013466,0.0013466
134,4767.93,1.00062,0.53624,0.84489,0.98345,0.93559,0.9839,0.62058,1.16384,0.60674,0.89318,0.00134165,0.00134165,0.00134165
135,4800.58,1.00585,0.56404,0.8548,0.96671,0.92913,0.97646,0.61508,1.12591,0.62527,0.87824,0.0013367,0.0013367,0.0013367
136,4834.16,0.98603,0.55509,0.84492,0.98319,0.92104,0.97206,0.62557,1.16231,0.61431,0.88503,0.00133175,0.00133175,0.00133175
137,4865.51,1.05477,0.57717,0.84652,0.95023,0.95276,0.9734,0.62985,1.15349,0.62477,0.88055,0.0013268,0.0013268,0.0013268
138,4896.51,1.04193,0.55248,0.85881,0.97463,0.90758,0.96812,0.61514,1.19992,0.67494,0.8928,0.00132185,0.00132185,0.00132185
139,4927.6,1.02586,0.57965,0.84066,0.96967,0.89764,0.96642,0.59872,1.23015,0.66214,0.89268,0.0013169,0.0013169,0.0013169
140,4957.33,0.99275,0.54188,0.8336,0.97741,0.89764,0.97112,0.6511,1.15693,0.69199,0.88969,0.00131195,0.00131195,0.00131195
141,4989.27,1.01088,0.57264,0.84544,0.96522,0.87414,0.95963,0.61066,1.21667,0.64314,0.89515,0.001307,0.001307,0.001307
142,5021.45,0.97603,0.54344,0.83704,0.95185,0.93391,0.97916,0.59894,1.28526,0.623,0.90573,0.00130205,0.00130205,0.00130205
143,5053.74,0.99843,0.56151,0.84718,0.93579,0.91339,0.95981,0.58738,1.1763,0.67619,0.87995,0.0012971,0.0012971,0.0012971
144,5084.71,1.01668,0.57882,0.83646,0.99133,0.90081,0.96513,0.57987,1.23423,0.64391,0.88013,0.00129215,0.00129215,0.00129215
145,5114.72,0.95137,0.53466,0.83384,1,0.90532,0.95346,0.61206,1.1737,0.71579,0.87441,0.0012872,0.0012872,0.0012872
146,5145.7,1.00998,0.55458,0.84279,0.95224,0.942,0.97181,0.60469,1.23226,0.62186,0.88188,0.00128225,0.00128225,0.00128225
147,5176.03,0.99491,0.5514,0.85233,0.95207,0.93852,0.96994,0.61117,1.24238,0.64925,0.88809,0.0012773,0.0012773,0.0012773
148,5206.57,0.99514,0.53065,0.84647,0.97254,0.92913,0.9749,0.60029,1.168,0.62697,0.88195,0.00127235,0.00127235,0.00127235
149,5236.53,1.0171,0.55212,0.85322,0.99835,0.92913,0.97496,0.59885,1.2185,0.62162,0.89563,0.0012674,0.0012674,0.0012674
150,5268.82,0.98431,0.56565,0.84879,0.99137,0.90442,0.97059,0.61142,1.16353,0.6233,0.87981,0.00126245,0.00126245,0.00126245
151,5298.49,0.98637,0.55254,0.83921,0.97484,0.96063,0.97785,0.64087,1.15658,0.60473,0.87343,0.0012575,0.0012575,0.0012575
152,5331.95,1.00616,0.53961,0.84528,0.98284,0.90197,0.96395,0.60661,1.19589,0.63897,0.88485,0.00125255,0.00125255,0.00125255
153,5365.41,0.97665,0.54424,0.85017,0.9878,0.89764,0.97167,0.63368,1.13349,0.58621,0.88196,0.0012476,0.0012476,0.0012476
154,5397.26,0.96344,0.5298,0.85884,0.98347,0.93683,0.9774,0.60018,1.18475,0.5652,0.88234,0.00124265,0.00124265,0.00124265
155,5430.24,0.97649,0.53884,0.83805,0.9671,0.92573,0.98082,0.57457,1.22198,0.59876,0.87969,0.0012377,0.0012377,0.0012377
156,5464.06,1.00164,0.55762,0.84612,1,0.89647,0.96696,0.60011,1.23334,0.63135,0.89424,0.00123275,0.00123275,0.00123275
157,5495.71,0.96372,0.54586,0.82885,0.96728,0.93125,0.9684,0.62164,1.20904,0.64879,0.88743,0.0012278,0.0012278,0.0012278
158,5527.46,0.91117,0.49999,0.83939,0.95236,0.95276,0.97268,0.63003,1.13809,0.60992,0.87659,0.00122285,0.00122285,0.00122285
159,5557.57,0.94231,0.52713,0.8365,0.97539,0.9364,0.98111,0.64585,1.11883,0.59527,0.87314,0.0012179,0.0012179,0.0012179
160,5589.51,0.98497,0.53303,0.83601,0.98384,0.9588,0.98648,0.65576,1.13131,0.56836,0.88007,0.00121295,0.00121295,0.00121295
161,5620.35,0.99203,0.54127,0.84333,1,0.91987,0.9701,0.63151,1.16946,0.61683,0.88882,0.001208,0.001208,0.001208
162,5653.62,0.98395,0.51968,0.8391,0.97443,0.90022,0.96235,0.6138,1.14804,0.61876,0.88541,0.00120305,0.00120305,0.00120305
163,5687.45,0.96951,0.52959,0.8448,0.93889,0.95276,0.9721,0.61941,1.16756,0.62734,0.88109,0.0011981,0.0011981,0.0011981
164,5718.66,0.96967,0.54375,0.85267,0.97518,0.92814,0.96824,0.61758,1.22156,0.63325,0.88028,0.00119315,0.00119315,0.00119315
165,5753.46,0.9637,0.54654,0.84155,0.93582,0.91854,0.96697,0.60184,1.16405,0.61956,0.87409,0.0011882,0.0011882,0.0011882
166,5786.12,0.98199,0.53001,0.83891,0.98064,0.91339,0.97789,0.63475,1.1725,0.62756,0.88017,0.00118325,0.00118325,0.00118325
167,5818.22,0.99763,0.52759,0.84353,0.93662,0.93095,0.97079,0.61793,1.18929,0.66515,0.87857,0.0011783,0.0011783,0.0011783
168,5848.04,0.98236,0.51094,0.84373,1,0.88869,0.96186,0.59127,1.25646,0.70967,0.89909,0.00117335,0.00117335,0.00117335
169,5881.06,0.97342,0.54473,0.83614,0.94544,0.95514,0.97999,0.64984,1.10943,0.58067,0.87999,0.0011684,0.0011684,0.0011684
170,5912.95,0.95594,0.50727,0.83642,0.96757,0.93973,0.97707,0.66037,1.09732,0.59966,0.88433,0.00116345,0.00116345,0.00116345
171,5942.51,0.98897,0.53107,0.84817,0.96064,0.92126,0.97612,0.63228,1.1685,0.66245,0.88621,0.0011585,0.0011585,0.0011585
172,5974.95,0.91251,0.51786,0.824,0.95775,0.93701,0.97595,0.64143,1.18278,0.62635,0.8932,0.00115355,0.00115355,0.00115355
