epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,7717.99,1.01609,0.49114,0.8217,0.97832,0.70526,0.85923,0.55578,1.15287,0.74438,0.8432,0.0012014,0.0012014,0.0012014
123,7777.78,0.95752,0.51309,0.7834,0.96134,0.77713,0.88058,0.57203,1.11434,0.79807,0.83791,0.0011948,0.0011948,0.0011948
124,7837.24,1.03893,0.52936,0.80605,0.93843,0.71449,0.84318,0.50204,1.36056,0.96552,0.848,0.0011882,0.0011882,0.0011882
125,7896.35,1.01691,0.4912,0.80949,0.95602,0.84908,0.91498,0.56772,1.14078,0.7431,0.83304,0.0011816,0.0011816,0.0011816
126,7956.07,0.9867,0.4934,0.80108,0.92125,0.82031,0.90743,0.5986,1.0559,0.71513,0.82479,0.001175,0.001175,0.001175
127,8017.46,0.94736,0.49124,0.79954,0.95464,0.75,0.88956,0.56908,1.10301,0.65495,0.8343,0.0011684,0.0011684,0.0011684
128,8075.92,0.99266,0.48157,0.79908,0.98139,0.82411,0.91441,0.58125,1.22701,0.92263,0.85148,0.0011618,0.0011618,0.0011618
129,8134.67,1.00318,0.48829,0.80925,0.95715,0.79688,0.87608,0.54126,1.26232,0.79421,0.85123,0.0011552,0.0011552,0.0011552
130,8194.79,1.05657,0.52209,0.80967,0.88506,0.78205,0.84925,0.54308,1.1444,0.75277,0.84321,0.0011486,0.0011486,0.0011486
131,8254.92,1.00436,0.48013,0.80623,0.95957,0.80469,0.90222,0.58908,1.12228,0.81638,0.83793,0.001142,0.001142,0.001142
132,8317.76,0.9236,0.46705,0.79966,0.89238,0.75781,0.85868,0.55815,1.10105,0.78451,0.83703,0.0011354,0.0011354,0.0011354
133,8377.33,0.98238,0.50627,0.80127,0.92154,0.82812,0.90424,0.57573,1.14741,0.76942,0.83554,0.0011288,0.0011288,0.0011288
134,8439.35,0.95012,0.46387,0.79743,0.929,0.81782,0.89222,0.56098,1.10566,0.70352,0.8354,0.0011222,0.0011222,0.0011222
135,8500.67,0.93269,0.48589,0.78353,0.8783,0.84575,0.88724,0.55158,1.18826,0.7185,0.83898,0.0011156,0.0011156,0.0011156
136,8560.7,0.98228,0.46423,0.8047,0.97276,0.82812,0.91237,0.59768,1.23856,0.9032,0.84459,0.001109,0.001109,0.001109
137,8619.8,0.96191,0.48582,0.79583,0.96321,0.81815,0.90237,0.57735,1.20488,0.91992,0.84177,0.0011024,0.0011024,0.0011024
138,8678.83,0.95756,0.46596,0.8052,0.92439,0.77344,0.87603,0.57422,1.08239,0.76882,0.83237,0.0010958,0.0010958,0.0010958
139,8741.53,0.97992,0.49498,0.79118,0.8789,0.68043,0.80676,0.53694,1.06521,0.96779,0.82983,0.0010892,0.0010892,0.0010892
140,8801,0.9646,0.48909,0.81262,0.898,0.80469,0.87875,0.54318,1.16089,0.76395,0.84466,0.0010826,0.0010826,0.0010826
141,8859.74,0.94842,0.49978,0.7912,0.8947,0.78906,0.85108,0.53343,1.15985,0.84823,0.84527,0.001076,0.001076,0.001076
142,8920.62,0.91832,0.47633,0.79014,0.9635,0.82483,0.8981,0.58162,1.08457,0.70501,0.84111,0.0010694,0.0010694,0.0010694
143,8980.28,0.9318,0.48174,0.78596,0.9619,0.78899,0.87768,0.54407,1.20231,0.80302,0.84388,0.0010628,0.0010628,0.0010628
144,9040.63,0.96481,0.49674,0.80069,0.88139,0.75471,0.84844,0.53279,1.16207,0.81071,0.84563,0.0010562,0.0010562,0.0010562
145,9100.51,0.98226,0.46596,0.8191,0.93842,0.83345,0.90056,0.56264,1.26939,0.82918,0.85382,0.0010496,0.0010496,0.0010496
146,9160.74,0.92618,0.45869,0.82033,0.92753,0.79998,0.89515,0.58056,1.16803,0.73565,0.84131,0.001043,0.001043,0.001043
147,9220.34,0.88045,0.44422,0.79209,0.94117,0.82031,0.89622,0.58117,1.20639,0.78762,0.83764,0.0010364,0.0010364,0.0010364
148,9278.91,0.91259,0.46038,0.79219,0.94382,0.78747,0.88176,0.58142,1.14977,0.78691,0.83382,0.0010298,0.0010298,0.0010298
149,9337.37,0.87285,0.43244,0.78853,0.92722,0.79624,0.90434,0.58227,1.12152,0.7047,0.83582,0.0010232,0.0010232,0.0010232
150,9396.88,0.91193,0.44835,0.79615,0.92026,0.80469,0.88354,0.58655,1.09076,0.65153,0.84103,0.0010166,0.0010166,0.0010166
151,9456.11,0.87909,0.43133,0.78781,0.96422,0.84211,0.89973,0.59591,1.10369,0.70682,0.83832,0.00101,0.00101,0.00101
152,9516,0.91909,0.473,0.7953,0.89142,0.76968,0.86025,0.53145,1.13791,0.69305,0.83269,0.0010034,0.0010034,0.0010034
153,9574.95,0.93766,0.4639,0.80183,0.91751,0.75,0.88599,0.57372,1.08781,0.69897,0.83169,0.0009968,0.0009968,0.0009968
154,9634.1,0.92108,0.44612,0.79709,0.91588,0.8125,0.91046,0.5963,1.1037,0.69301,0.83715,0.0009902,0.0009902,0.0009902
155,9692.99,0.89088,0.44968,0.79683,0.94123,0.8125,0.9152,0.61192,1.09383,0.76606,0.84072,0.0009836,0.0009836,0.0009836
156,9752.63,0.91403,0.45744,0.80126,0.962,0.79121,0.90674,0.59814,1.12651,0.82976,0.84172,0.000977,0.000977,0.000977
157,9811.92,0.93957,0.46637,0.79401,0.94355,0.78347,0.89841,0.58628,1.21398,0.86008,0.85266,0.0009704,0.0009704,0.0009704
158,9871.34,0.95344,0.47458,0.79655,0.95499,0.82879,0.91796,0.57535,1.23809,0.69674,0.84514,0.0009638,0.0009638,0.0009638
159,9933.29,0.94228,0.47428,0.8078,0.96375,0.83078,0.90198,0.59101,1.17739,0.74046,0.84442,0.0009572,0.0009572,0.0009572
160,9992.61,0.93463,0.45443,0.80025,0.9655,0.83594,0.928,0.60866,1.1442,0.80406,0.8448,0.0009506,0.0009506,0.0009506
161,10052.2,0.91905,0.44738,0.78988,0.96185,0.78797,0.8967,0.56652,1.1339,0.83476,0.84319,0.000944,0.000944,0.000944
162,10111,0.91647,0.43518,0.79927,0.93294,0.85156,0.90959,0.60073,1.11353,0.72344,0.8441,0.0009374,0.0009374,0.0009374
163,10169.7,0.90926,0.43186,0.79862,0.93251,0.82812,0.90653,0.60336,1.0969,0.70524,0.83349,0.0009308,0.0009308,0.0009308
164,10229,0.90049,0.42507,0.78383,0.87831,0.78125,0.88176,0.57056,1.10661,0.70283,0.83604,0.0009242,0.0009242,0.0009242
165,10288.6,0.86918,0.42736,0.80357,0.84172,0.79688,0.86426,0.56025,1.14069,0.73432,0.83629,0.0009176,0.0009176,0.0009176
